Nombre del Juego,Objetivo del juego,Objetivo Pedagógico,Reglas del Juego,Imagen representativa 
El Autógrafo,Azar,Conocerse,"Consiste en dibujar 9 cuadrantes en una hoja de cuaderno, con un número previamente asignado en la esquina superior derecha. Posteriormente se debe jugar cachipún con distintas personas sin repetir, el perdedor debe anotar su nombre, carrera, pasatiempo y comida favorita en uno de los cuadrantes del ganador. La primera persona en rellenar los 9 cuadrantes será la ganadora. El objetivo del juego es facilitar la interacción y conocer a nuestros compañeros de curso.",
Lotería de nombres,"Azar, Atención",Conocerse,"Este juego es la continuación del “Autógrafo”. Cada persona tiene un respectivo número y cuando este es mencionado, debe presentarse, indicar su nombre, carrera, pasatiempo y comida favorita. Gana la primera persona en llenar los nueve cuadrantes de su hoja. El objetivo es conocerse.",
Cuantas bajan?,Descubrir la regla del juego,Atención,"Para empezar el juego, una persona tiene que aplaudir o replicar el sonido de un rebaño caminando. Posteriormente se debe preguntar por el número de ovejas y la respuesta correcta depende del número de palabras que se utilicen en la pregunta. Por ejemplo: “¿Cuántas bajan?” la respuesta es 2, y “¿Cuántas ovejas bajan?” es 3. El objetivo del juego es descubrir la forma de ganar  y responder correctamente a la pregunta.
",
Cachipun gigante,Coordinación y estrategia,Liderazgo e interacción,"Dos grandes grupos de personas deben jugar entre sí una versión del cachipún en donde tienen de 10 a 5 segundos para ponerse de acuerdo y escoger todos la misma opción. La tijera se hace imitando el movimiento de tijera con las manos, el papel alzando los brazos, y la piedra, agachándose. Si un miembro del equipo escoge algo distinto, todo el equipo pierde la ronda automáticamente. El primer equipo en obtener 5 victorias gana. El objetivo del juego es coordinarse con grupos grandes de personas.
",
Cachipun cazador,"Mímica, coordinación, estrategia",Liderazgo e interacción,"Similar al cachipún gigante, los dos equipos deben ponerse de acuerdo entre todos para, en lugar de piedra, papel y tijera; escoger cazador, león o escopeta, donde el león vence al cazador, el cazador a la escopeta, y la escopeta al león. Si un miembro del equipo escoge algo distinto, todo el equipo pierde la ronda automáticamente. El primer equipo en obtener 5 victorias gana. El objetivo del juego es coordinarse con grupos grandes de personas.",
Cachipun suma,"Velocidad de pensamiento, estrategia, azar",Conocerse,"aesta variante del cachipún, en lugar de utilizar piedra, papel y tijera utiliza de cero a cinco dedos de la mano. Ambos jugadores deben decir ""cachi-"" seguido de un número del 0 al 10, si el número coincide de un jugador coincide con la suma de dedos entre ambos jugadores, gana la ronda.",
Piti piti,Descubrir la regla del juego,Atención,"La primera persona hace un gesto tocandose los dedos de la mano y diciendo ""piti piti piti piti piii, piti piii, piti piti piti pi"". Luego le pide a otro jugador que lo imite, y le dice si está correcto o no. La regla secreta es que debe imitar también el gesto que hace justo después de terminar la canción.",
La Ameba (evolución),"Azar, mímica",Conocerse,"Todos los jugadores parten como amebas y deben actuar como amebas, si le ganan en cachipún a otra ameba evolucionan. El orden de las evoluciones es ameba, cangrejo, conejo, gorila, humano y avenger. Un jugador sólo puede retar a otro jugador que esté igual de evolucionado. Si un jugador pierde una ronda, vuelve inmediatamente a jugar como ameba, independiente de en cuál estado se encontraba. Ganan los jugadores que alcanzan la etapa de avenger una vez acabo el tiempo.",
Ata2,"Ingenio, trabajo en equipo, comunicación",Resolución de problemas,Dos jugadores deben atarse dos cuerdas en cada muñeca de manera cruzada para lograr escapar sin desatar los nudos.,
Juan José Bonilla,"Coordinación, memoria","Atención, estrategia","Una canción que dice ""Juan José Bonilla se sentó en la hornilla y empezó a gritar 'mamá mamá, qué caliente está'"". Una vez se ha aprendido la letra, hay que sentarse y levantarse cada vez que la canción diga ""mamá"".",
Pan para pan,"Coordinación, atención",Atención,"Cuando el director del juego levanta el puño, los jugadores deben decir ""pan"" y si levanta la mano con las palmas abiertas deben decir ""para pan"".",
"1,2,3","Memoria, coordinación","Socialización, creatividad","En parejas se deben, deben mirarse a los ojos y contar alternadamente del 1 hasta el 3, cuando se llega al 3, hay que volver a partir con el 1. El ganador es aquel que logre seguir adecuadamente la secuencia sin equivocarse. Cada ronda, uno de los números debe sustituirse permanentemente con una acción. En la segunda ronda, el 1 se sustituye por un aplauso; en la tercera, el 3 se cambia por un aplauso; y en la última, el 2 se cambia por una acción a libre elección. Los objetivos del juego son  la interacción, la comunicación y la coordinación.
",
El Saludo,"Memoria, creatividad","Socialización, creatividad","Los jugadores deben distribuirse por el espacio, si el director dice un número, se deben formar grupos con ese número de personas y entre todos deben presentarse e inventar un saludo de 3 movimientos. Si se repite un número, los jugadores deben ubicarse con el mismo grupo con ese número de integrantes.",
Bitcoin,Calentamiento,"Atención, agilidad, estrategia","Puede jugarse en equipo o todos contra todos. Cada jugador debe colocarse un pañolín a la altura de la rodilla y debe robarle su pañolín a los demás jugadores, si lo logra, puede reclamar un bitcoin y devolverle el pañolín al otro jugador para que pueda reintegrarse. Gana aquel que haya recolectado la mayor cantidad de bitcoins.",
Aplauso del Torero,"Celebrar, mímica",Animación,"El director al mover el pañolín, los jugadores deben hacer un grito distinto según si es que se está moviendo hacia arriba o hacia abajo. Si se suelta el pañolín, todos los jugadores deben gritar y aplaudir hasta que este toque el piso.",
Cuerpo a tierra,Competición de equipos,"Colaboración, comunicación y coordinación","Cuatro equipos deben ubicarse en hilera y traspasar una pelota por detrás hasta llegar al último miembro, una vez que éste la recibe debe exclamar ""cuerpo a tierra"", y en ese momento los demás miembros del equipo deben lanzarse al piso en posición horizontal para que el jugador pueda pasar al frente. El equipo debe repetir esta secuencia hasta haber llegado a la formación inicial. El primer equipo en completar la secuencia será el ganador.",
Lazarillo,Coordinación,Confianza y comunicación,"En parejas, un jugador debe guiar al otro mientras este lleva los ojos vendados utilizando únicamente la voz y sin tocarlo.",
Ordena2,Encontrar cosas en común,Colaboración,"El director del juego debe asignar una consigna (por ejemplo comuna en la que se vive, fecha de nacimiento o número de calzado) y los demás jugadores deben agruparse u ordenarse según la consigna antes de que se acabe el tiempo y con la condición de que no pueden hablarse entre sí. El objetivo del juego es lograr seguir el orden y buscar formas de comunicarse que no sean mediante la voz.",
